id,group_id,breeding,children,dob,kill_weight,name,visual_ids_history,registration_status,related_meat_labels,is_castrated,is_male,pedigree,sire_is_pedigree,sire_studs,stud_sired_id,visual_id,dam_id,sire_id,description,breed_society_registration,e_id,passport_number,dead_at,owners_history,owner_id,animal_type_id,e_ids_history,is_pedigree,link_to_origin_animal_id,created_at,updated_at,dam_passport_number,sire_passport_number,is_on_farm,date_left_farm,date_moved_to_farm,animal_subtype,is_regulatory_synced,lot_id,link_to_my_sire_id,birth_information_id,field_id,meta_data,location_id,updated_by_id,last_regulatory_synced_date,animal_colour_id,kill_fat_score,kill_quality,kill_fat_score_int,kill_quality_int,is_birthed,dam_passport_number_cleaned,e_id_cleaned,passport_number_cleaned,sire_passport_number_cleaned,is_pregnant,pregnancy_due_date,is_owned_by_impact,impact_status,is_soft_deleted,soft_deleted_at
d2a853cd-413f-4703-a2e0-b2fc553248df,4e81207b-dd6d-45b0-afc9-818b978c5131,false,,2021-06-28,,,,false,,false,true,,false,,,,,79a6f95f-a17d-42db-bd99-9cd0cba4321d,,false,,UK286760401728,,[],3117,3,{},false,,2022-10-27 11:35:38.792083,2023-06-02 14:21:39.414001,UK286760500987,UK303596702930,false,2023-05-29 13:45:37.000,2021-06-28,,false,,,,a88ecf99-075e-40c8-bd32-b69fa4b32978,"{""bcms_sync_history_info_at"": ""2022-10-27T11:37:14.437582+00:00""}",3176.0,,2023-05-31 01:00:33.046139,,,,,,false,UK286760500987,,UK286760401728,UK303596702930,false,,false,,false,
aeff3779-3e3a-4ba0-abfc-64b83070cfe9,8732c7aa-0c01-4226-adb5-be660ca52d23,false,,2020-05-29,,,,false,,false,false,,false,,,,1ea18cd5-9904-4ad1-86db-26b0c4aa9a96,,,false,,UK286760201649,,[],3117,3,{},false,,2022-10-27 11:35:28.598835,2023-04-11 11:06:28.507829,UK286760501505,UK706021602429,false,2023-04-06 10:55:26.000,2020-05-29,,false,,,,a88ecf99-075e-40c8-bd32-b69fa4b32978,"{""bcms_sync_history_info_at"": ""2022-10-27T11:37:05.303374+00:00""}",3176.0,,2023-04-12 00:54:40.921704,,,,,,true,UK286760501505,,UK286760201649,UK706021602429,false,,false,,false,
63045f85-41d1-474e-bef0-adbc44b63099,4e81207b-dd6d-45b0-afc9-818b978c5131,false,,2021-06-11,,,,false,,false,true,,false,,,,d981a07c-de8f-4546-a8ed-45d77b18e82e,79a6f95f-a17d-42db-bd99-9cd0cba4321d,,false,,UK286760301720,,[],3117,3,{},false,,2022-10-27 11:35:37.852061,2023-06-02 14:21:39.414001,UK286760500994,UK303596702930,false,2023-05-29 13:45:37.000,2021-06-11,,false,,,,a88ecf99-075e-40c8-bd32-b69fa4b32978,"{""bcms_sync_history_info_at"": ""2022-10-27T11:37:34.979336+00:00""}",3176.0,,2023-05-31 01:00:31.280471,,,,,,false,UK286760500994,,UK286760301720,UK303596702930,false,,false,,false,
e7b103eb-7c35-4016-938c-70b1d021c2ef,8732c7aa-0c01-4226-adb5-be660ca52d23,false,,2020-04-03,,,,false,,false,false,,false,,,,e55cdd80-0e6c-4cbe-8faf-d693065d9df1,,,false,,UK286760201607,,[],3117,3,{},false,,2022-10-27 11:35:26.130950,2023-04-11 11:06:28.507829,UK286760601478,UK706021602429,false,2023-04-06 10:55:26.000,2020-04-03,,false,,,,a88ecf99-075e-40c8-bd32-b69fa4b32978,"{""bcms_sync_history_info_at"": ""2022-10-27T11:36:37.746457+00:00""}",3176.0,,2023-04-12 00:54:39.323677,,,,,,true,UK286760601478,,UK286760201607,UK706021602429,false,,false,,false,
218bd92e-ebd1-4a38-b41f-16ad4f9033e7,4e81207b-dd6d-45b0-afc9-818b978c5131,false,,2021-05-28,,,,false,,false,true,,false,,,,,79a6f95f-a17d-42db-bd99-9cd0cba4321d,,false,,UK286760201705,,[],3117,3,{},false,,2022-10-27 11:35:35.980249,2023-06-02 14:21:39.414001,UK286760601205,UK303596702930,false,2023-05-29 13:45:37.000,2021-05-28,,false,,,,a88ecf99-075e-40c8-bd32-b69fa4b32978,"{""bcms_sync_history_info_at"": ""2022-10-27T11:36:51.494696+00:00""}",3176.0,,2023-05-31 01:00:28.270267,,,,,,false,UK286760601205,,UK286760201705,UK303596702930,false,,false,,false,
7d44c101-31d9-40d5-a2a0-dd0bc28a8aa5,8732c7aa-0c01-4226-adb5-be660ca52d23,false,,2020-05-03,,,,false,,false,false,,false,,,,,75b34d7f-fed4-422e-980d-64ebe455f23f,,false,,UK286760101641,,[],3117,3,{},false,,2022-10-27 11:35:28.293318,2023-02-13 12:59:44.380550,UK286760500987,UK311688400085,false,2023-02-13 12:56:55.999,2020-05-03,,false,,,,a88ecf99-075e-40c8-bd32-b69fa4b32978,"{""bcms_sync_history_info_at"": ""2022-10-27T11:37:22.743764+00:00""}",3176.0,,2023-02-07 00:58:02.880373,,,,,,true,UK286760500987,,UK286760101641,UK311688400085,false,,false,,false,
8642f061-84de-40ea-a79e-358cdac8435b,6d2f8d45-38a1-4321-bc1d-3f7d34b14cb3,false,,2022-05-11,,,,false,,false,false,,false,,,,6e4902df-479d-4ff3-9275-17372a9bc576,79a6f95f-a17d-42db-bd99-9cd0cba4321d,,false,,UK286760201740,,[],3117,3,{},false,,2022-10-27 11:35:40.662560,2023-01-20 12:43:05.994432,UK286760101480,UK303596702930,false,2023-01-18 09:51:03.000,2022-05-11,,false,,,,a88ecf99-075e-40c8-bd32-b69fa4b32978,"{""bcms_sync_history_info_at"": ""2022-10-27T11:37:36.896931+00:00""}",3176.0,,2023-01-20 00:53:28.998462,,,,,,false,UK286760101480,,UK286760201740,UK303596702930,false,,false,,false,
2f565052-6bf6-4611-987c-0130e1895b28,6d2f8d45-38a1-4321-bc1d-3f7d34b14cb3,false,,2022-05-09,,,,false,,false,true,,false,,,,4f15ba63-564a-49b5-bd06-187bca782273,27093282-0d47-4aaf-a8de-f15cf5a9c6c1,,false,,UK286760501666,,[],3117,3,{},false,,2022-10-27 11:35:30.452116,2023-04-11 11:06:28.507829,UK286760501652,UK307558500093,false,2023-04-06 10:55:26.000,2022-05-09,,false,,,,a88ecf99-075e-40c8-bd32-b69fa4b32978,"{""bcms_sync_history_info_at"": ""2022-10-27T11:36:46.697082+00:00""}",3176.0,,2023-04-12 00:54:42.318147,,,,,,false,UK286760501652,,UK286760501666,UK307558500093,false,,false,,false,
e3824554-5f89-43a0-96ca-e64b62e6143b,fa1b8abc-477e-4a03-9edf-89bc6db35922,false,,2022-03-15,,,,false,{},false,false,,false,,,XXXX,,,,false,,UK323773405824,,[],3117,3,{},false,,2022-09-23 14:25:03.824159,2024-04-16 14:32:30.778394,UK323773303590,XXXX CENTRE,false,2024-04-01 14:22:47.000,2022-09-22,,false,,,,55daad6e-33ea-42fb-b41c-74ac85b6a068,"{""bcms_sync_history_info_at"": ""2022-10-27T11:38:37.772179+00:00""}",3176.0,,2024-04-02 01:16:46.479917,,,,,,false,UK323773303590,,UK323773405824,XXXXCENTRE,false,,false,,false,
18f97093-31a0-40be-930b-b9c9065e908f,4e81207b-dd6d-45b0-afc9-818b978c5131,false,,2021-06-08,,,,false,,false,true,,false,,,,d61092eb-216c-4c4f-b9c8-85a0fef2b465,79a6f95f-a17d-42db-bd99-9cd0cba4321d,,false,,UK286760701717,,[],3117,3,{},false,,2022-10-27 11:35:37.389569,2023-06-02 14:21:39.414001,UK286760700919,UK303596702930,false,2023-05-29 13:45:37.000,2021-06-08,,false,,,,a88ecf99-075e-40c8-bd32-b69fa4b32978,"{""bcms_sync_history_info_at"": ""2022-10-27T11:37:40.690890+00:00""}",3176.0,,2023-05-31 01:00:30.374155,,,,,,false,UK286760700919,,UK286760701717,UK303596702930,false,,false,,false,
