id,action,created_at,animal_id,tag_id,user_id
3f4d668e-d079-42d7-8de7-69e369ab959b,add,2023-05-01,47d0b5d2-80dc-49ef-b8e6-a69628b876d3,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3,5443
e6f84163-475c-4e36-8c46-b679810cbcea,add,2023-05-01,6b25474f-866e-4efa-bbe9-ae9f50c78b4a,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3,5443
c676498f-00fa-4350-95f4-50ec97eb9a10,add,2023-05-01,fc4288b4-5b7a-41b6-bede-bec057f584f7,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3,5443
552737b6-5bfd-4004-b1a1-09ee7a429dd9,add,2023-05-01,6dd09559-842f-400f-b1de-3e824510afc5,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3,5443
1388b821-c350-44be-b244-88913f6596d3,add,2023-05-01,8647de4f-acec-43b4-b80a-7d367b40d2d1,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3,5443
b31b5c33-7c4e-4c53-a9ef-31aaf42503ff,add,2023-05-01,a4e4c0c0-632c-43f9-8421-8fe59205c796,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3,5443
51c847d1-128d-441c-9781-cf81501916fd,add,2023-05-01,b299fe63-d3b1-4679-9697-3f264bd6a42f,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3,5443
55dfc6ee-6098-4215-9c59-138a6a14e32b,add,2023-05-01,21d3b7c7-03e3-4738-a154-50b6eb3355c0,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3,5443
b18c5a01-60b2-492d-a3b1-f8f838c1ff18,add,2023-05-01,a10906f3-e68c-4d8e-8c66-6fac44c07739,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3,5443
f3103304-98a2-4335-bfed-c2726b029716,add,2023-05-01,5a9c9653-08d2-47df-b6b0-475855d5267a,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3,5443
f885c529-2e68-474f-a34f-fe2092597266,add,2023-05-01,70924c60-c63e-4e77-a26a-78d3724cf761,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3,5443
fdfcbcfa-f29c-4512-8daf-2e1c728e336b,add,2023-05-01,6f4331c8-c8f0-4235-a5e9-f26b2b3cf2a5,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3,5443
aa66b5cb-b31c-40ed-a71b-030449b0893b,add,2023-05-01,595efe9c-c095-4374-ad95-2777b5604f37,f04f581a-d34c-4a62-8b0d-5d3efbbb19a3,5443
